rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetrenych,populace
2010,Z,66015019,15–19 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,1140,2956
2010,Z,66015019,15–19 let,CZ0714,Přerov,CZ071,Olomoucký kraj,1252,3828
2010,Z,66015019,15–19 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,1374,3706
2010,Z,66015019,15–19 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,1085,3087
2010,Z,66015019,15–19 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,1442,4109
2010,Z,66015019,15–19 let,CZ0723,Vsetín,CZ072,Zlínský kraj,1233,4308
2010,Z,66015019,15–19 let,CZ0724,Zlín,CZ072,Zlínský kraj,1724,5197
2010,Z,66015019,15–19 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,1045,3020
2010,Z,66015019,15–19 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,1828,6229
2010,Z,66015019,15–19 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,1300,7979
2010,Z,66015019,15–19 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,1449,4652
2010,Z,66015019,15–19 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,1526,5010
2010,Z,66015019,15–19 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,2829,9012
2010,Z,66020024,20–24 let,CZ0100,Praha,CZ010,Hlavní město Praha,22734,38981
2010,Z,66020024,20–24 let,CZ0201,Benešov,CZ020,Středočeský kraj,1668,2832
2010,Z,66020024,20–24 let,CZ0202,Beroun,CZ020,Středočeský kraj,1551,2427
2010,Z,66020024,20–24 let,CZ0203,Kladno,CZ020,Středočeský kraj,3023,4860
2010,Z,66020024,20–24 let,CZ0204,Kolín,CZ020,Středočeský kraj,1821,2901
2010,Z,66020024,20–24 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,1464,2324
2010,Z,66020024,20–24 let,CZ0206,Mělník,CZ020,Středočeský kraj,2030,3211
2010,Z,66020024,20–24 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,2613,3884
2010,Z,66020024,20–24 let,CZ0208,Nymburk,CZ020,Středočeský kraj,1698,2806
2010,Z,66020024,20–24 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,2733,4008
2010,Z,66020024,20–24 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,2159,3254
2010,Z,66020024,20–24 let,CZ020B,Příbram,CZ020,Středočeský kraj,2097,3576
2010,Z,66020024,20–24 let,CZ020C,Rakovník,CZ020,Středočeský kraj,1028,1833
2010,Z,66020024,20–24 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,4041,6012
2010,Z,66020024,20–24 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,1175,2063
