rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetrenych,pocet_abnormalnich
2010,Z,66025059,25–59 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,15158,694
2010,Z,66025059,25–59 let,CZ0714,Přerov,CZ071,Olomoucký kraj,16099,718
2010,Z,66025059,25–59 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,16551,751
2010,Z,66025059,25–59 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,13930,354
2010,Z,66025059,25–59 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,18607,361
2010,Z,66025059,25–59 let,CZ0723,Vsetín,CZ072,Zlínský kraj,17610,921
2010,Z,66025059,25–59 let,CZ0724,Zlín,CZ072,Zlínský kraj,24606,1012
2010,Z,66025059,25–59 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,12545,899
2010,Z,66025059,25–59 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,25621,1581
2010,Z,66025059,25–59 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,17973,1183
2010,Z,66025059,25–59 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,18102,1087
2010,Z,66025059,25–59 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,22545,2080
2010,Z,66025059,25–59 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,35459,3107
2011,Z,66025059,25–59 let,CZ0100,Praha,CZ010,Hlavní město Praha,158178,6566
2011,Z,66025059,25–59 let,CZ0201,Benešov,CZ020,Středočeský kraj,13143,762
2011,Z,66025059,25–59 let,CZ0202,Beroun,CZ020,Středočeský kraj,12041,677
2011,Z,66025059,25–59 let,CZ0203,Kladno,CZ020,Středočeský kraj,21122,1071
2011,Z,66025059,25–59 let,CZ0204,Kolín,CZ020,Středočeský kraj,13018,704
2011,Z,66025059,25–59 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,10050,338
2011,Z,66025059,25–59 let,CZ0206,Mělník,CZ020,Středočeský kraj,14011,531
2011,Z,66025059,25–59 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,19586,887
2011,Z,66025059,25–59 let,CZ0208,Nymburk,CZ020,Středočeský kraj,12986,504
2011,Z,66025059,25–59 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,22851,998
2011,Z,66025059,25–59 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,19021,863
2011,Z,66025059,25–59 let,CZ020B,Příbram,CZ020,Středočeský kraj,16158,1188
2011,Z,66025059,25–59 let,CZ020C,Rakovník,CZ020,Středočeský kraj,7829,371
2011,Z,66025059,25–59 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,28025,1485
2011,Z,66025059,25–59 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,8793,315
2011,Z,66025059,25–59 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,13522,285
2011,Z,66025059,25–59 let,CZ0314,Písek,CZ031,Jihočeský kraj,9478,316
2011,Z,66025059,25–59 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,6713,387
2011,Z,66025059,25–59 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,9233,435
2011,Z,66025059,25–59 let,CZ0317,Tábor,CZ031,Jihočeský kraj,15611,1042
2011,Z,66025059,25–59 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,8783,348
2011,Z,66025059,25–59 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,11213,502
2011,Z,66025059,25–59 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,26229,1291
2011,Z,66025059,25–59 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,8574,371
2011,Z,66025059,25–59 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,11268,531
2011,Z,66025059,25–59 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,6350,295
2011,Z,66025059,25–59 let,CZ0327,Tachov,CZ032,Plzeňský kraj,7649,347
2011,Z,66025059,25–59 let,CZ0411,Cheb,CZ041,Karlovarský kraj,11184,654
2011,Z,66025059,25–59 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,13923,538
2011,Z,66025059,25–59 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,11888,727
2011,Z,66025059,25–59 let,CZ0421,Děčín,CZ042,Ústecký kraj,14548,654
2011,Z,66025059,25–59 let,CZ0422,Chomutov,CZ042,Ústecký kraj,16408,786
2011,Z,66025059,25–59 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,16277,540
2011,Z,66025059,25–59 let,CZ0424,Louny,CZ042,Ústecký kraj,10583,311
2011,Z,66025059,25–59 let,CZ0425,Most,CZ042,Ústecký kraj,14152,792
2011,Z,66025059,25–59 let,CZ0426,Teplice,CZ042,Ústecký kraj,14305,767
2011,Z,66025059,25–59 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,15180,331
2011,Z,66025059,25–59 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,13163,615
2011,Z,66025059,25–59 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,12373,567
2011,Z,66025059,25–59 let,CZ0513,Liberec,CZ051,Liberecký kraj,22356,861
2011,Z,66025059,25–59 let,CZ0514,Semily,CZ051,Liberecký kraj,10127,504
2011,Z,66025059,25–59 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,22373,842
2011,Z,66025059,25–59 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,10887,531
2011,Z,66025059,25–59 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,15838,623
2011,Z,66025059,25–59 let,CZ0524,Rychnov nad Kněžnou,CZ052,Královéhradecký kraj,10947,424
2011,Z,66025059,25–59 let,CZ0525,Trutnov,CZ052,Královéhradecký kraj,15128,741
2011,Z,66025059,25–59 let,CZ0531,Chrudim,CZ053,Pardubický kraj,15436,556
2011,Z,66025059,25–59 let,CZ0532,Pardubice,CZ053,Pardubický kraj,24528,1152
2011,Z,66025059,25–59 let,CZ0533,Svitavy,CZ053,Pardubický kraj,13851,589
2011,Z,66025059,25–59 let,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,19179,784
2011,Z,66025059,25–59 let,CZ0631,Havlíčkův Brod,CZ063,Vysočina,13219,463
2011,Z,66025059,25–59 let,CZ0632,Jihlava,CZ063,Vysočina,15277,676
2011,Z,66025059,25–59 let,CZ0633,Pelhřimov,CZ063,Vysočina,9647,218
2011,Z,66025059,25–59 let,CZ0634,Třebíč,CZ063,Vysočina,15694,625
2011,Z,66025059,25–59 let,CZ0635,Žďár nad Sázavou,CZ063,Vysočina,14522,553
2011,Z,66025059,25–59 let,CZ0641,Blansko,CZ064,Jihomoravský kraj,13399,679
2011,Z,66025059,25–59 let,CZ0642,Brno-město,CZ064,Jihomoravský kraj,50140,3429
2011,Z,66025059,25–59 let,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,29207,1800
2011,Z,66025059,25–59 let,CZ0644,Břeclav,CZ064,Jihomoravský kraj,16181,769
2011,Z,66025059,25–59 let,CZ0645,Hodonín,CZ064,Jihomoravský kraj,16265,615
2011,Z,66025059,25–59 let,CZ0646,Vyškov,CZ064,Jihomoravský kraj,11756,761
2011,Z,66025059,25–59 let,CZ0647,Znojmo,CZ064,Jihomoravský kraj,14494,656
2011,Z,66025059,25–59 let,CZ0711,Jeseník,CZ071,Olomoucký kraj,3762,156
2011,Z,66025059,25–59 let,CZ0712,Olomouc,CZ071,Olomoucký kraj,33578,1884
2011,Z,66025059,25–59 let,CZ0713,Prostějov,CZ071,Olomoucký kraj,15232,794
2011,Z,66025059,25–59 let,CZ0714,Přerov,CZ071,Olomoucký kraj,16007,665
2011,Z,66025059,25–59 let,CZ0715,Šumperk,CZ071,Olomoucký kraj,16659,606
2011,Z,66025059,25–59 let,CZ0721,Kroměříž,CZ072,Zlínský kraj,13628,408
2011,Z,66025059,25–59 let,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,18925,352
2011,Z,66025059,25–59 let,CZ0723,Vsetín,CZ072,Zlínský kraj,17152,822
2011,Z,66025059,25–59 let,CZ0724,Zlín,CZ072,Zlínský kraj,24926,784
2011,Z,66025059,25–59 let,CZ0801,Bruntál,CZ080,Moravskoslezský kraj,12447,702
2011,Z,66025059,25–59 let,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,25879,1640
2011,Z,66025059,25–59 let,CZ0803,Karviná,CZ080,Moravskoslezský kraj,19766,1701
2011,Z,66025059,25–59 let,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj,18051,1197
2011,Z,66025059,25–59 let,CZ0805,Opava,CZ080,Moravskoslezský kraj,22527,1654
2011,Z,66025059,25–59 let,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj,35761,3030
2012,Z,66025059,25–59 let,CZ0100,Praha,CZ010,Hlavní město Praha,161413,6330
2012,Z,66025059,25–59 let,CZ0201,Benešov,CZ020,Středočeský kraj,13188,849
2012,Z,66025059,25–59 let,CZ0202,Beroun,CZ020,Středočeský kraj,12133,554
2012,Z,66025059,25–59 let,CZ0203,Kladno,CZ020,Středočeský kraj,21354,820
2012,Z,66025059,25–59 let,CZ0204,Kolín,CZ020,Středočeský kraj,12893,522
2012,Z,66025059,25–59 let,CZ0205,Kutná Hora,CZ020,Středočeský kraj,9558,301
2012,Z,66025059,25–59 let,CZ0206,Mělník,CZ020,Středočeský kraj,14057,511
2012,Z,66025059,25–59 let,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj,19342,871
2012,Z,66025059,25–59 let,CZ0208,Nymburk,CZ020,Středočeský kraj,12796,424
2012,Z,66025059,25–59 let,CZ0209,Praha-východ,CZ020,Středočeský kraj,23447,976
2012,Z,66025059,25–59 let,CZ020A,Praha-západ,CZ020,Středočeský kraj,19278,731
2012,Z,66025059,25–59 let,CZ020B,Příbram,CZ020,Středočeský kraj,15789,1129
2012,Z,66025059,25–59 let,CZ020C,Rakovník,CZ020,Středočeský kraj,7807,404
2012,Z,66025059,25–59 let,CZ0311,České Budějovice,CZ031,Jihočeský kraj,28248,1560
2012,Z,66025059,25–59 let,CZ0312,Český Krumlov,CZ031,Jihočeský kraj,8840,345
2012,Z,66025059,25–59 let,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,13418,321
2012,Z,66025059,25–59 let,CZ0314,Písek,CZ031,Jihočeský kraj,9157,249
2012,Z,66025059,25–59 let,CZ0315,Prachatice,CZ031,Jihočeský kraj,6521,268
2012,Z,66025059,25–59 let,CZ0316,Strakonice,CZ031,Jihočeský kraj,9028,351
2012,Z,66025059,25–59 let,CZ0317,Tábor,CZ031,Jihočeský kraj,15410,908
2012,Z,66025059,25–59 let,CZ0321,Domažlice,CZ032,Plzeňský kraj,8683,316
2012,Z,66025059,25–59 let,CZ0322,Klatovy,CZ032,Plzeňský kraj,10985,414
2012,Z,66025059,25–59 let,CZ0323,Plzeň-město,CZ032,Plzeňský kraj,26465,1075
2012,Z,66025059,25–59 let,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj,8692,302
2012,Z,66025059,25–59 let,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj,11288,459
2012,Z,66025059,25–59 let,CZ0326,Rokycany,CZ032,Plzeňský kraj,6353,228
2012,Z,66025059,25–59 let,CZ0327,Tachov,CZ032,Plzeňský kraj,7345,332
2012,Z,66025059,25–59 let,CZ0411,Cheb,CZ041,Karlovarský kraj,11113,597
2012,Z,66025059,25–59 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,13518,926
2012,Z,66025059,25–59 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,11554,770
2012,Z,66025059,25–59 let,CZ0421,Děčín,CZ042,Ústecký kraj,15453,808
2012,Z,66025059,25–59 let,CZ0422,Chomutov,CZ042,Ústecký kraj,16669,912
2012,Z,66025059,25–59 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,16402,473
2012,Z,66025059,25–59 let,CZ0424,Louny,CZ042,Ústecký kraj,10440,323
2012,Z,66025059,25–59 let,CZ0425,Most,CZ042,Ústecký kraj,14068,894
2012,Z,66025059,25–59 let,CZ0426,Teplice,CZ042,Ústecký kraj,14758,736
2012,Z,66025059,25–59 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,15067,332
2012,Z,66025059,25–59 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,13128,751
2012,Z,66025059,25–59 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,12248,547
2012,Z,66025059,25–59 let,CZ0513,Liberec,CZ051,Liberecký kraj,22937,853
2012,Z,66025059,25–59 let,CZ0514,Semily,CZ051,Liberecký kraj,10006,409
