"Ukazatel","IndicatorType","Druh zdravotní péče-Úroveň 1","HC.HCU1","Druh zdravotní péče-Úroveň 2","HC.HCU2","Druh zdravotní péče-Úroveň 3","HC.HCU3","Typ financování zdravotní péče-Úroveň 1","HF.HFU1","Typ financování zdravotní péče-Úroveň 2","HF.HFU2","Území","Uz0","Roky","CasR","Hodnota"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2011","2011","43493"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2012","2012","44143"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2013","2013","44503"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2014","2014","47723"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2015","2015","49242"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2016","2016","50660"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2017","2017","53023"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2018","2018","57140"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2019","2019","63093"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2020","2020","57906"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2021","2021","72073"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Domácnosti","HF3","","","Česko","CZ","2022","2022","85321"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2010","2010","34253.36167"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2011","2011","32905.62411"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2012","2012","33153.52007"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2013","2013","34902.33041"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2014","2014","36845.68796"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2015","2015","38126.34042"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2016","2016","39993.65184"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2017","2017","45571.51479"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2018","2018","51279.11508"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2019","2019","56833.77356"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2020","2020","91933.18541"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2021","2021","89524.45834"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Veřejné rozpočty","HF11","Česko","CZ","2022","2022","80780.64945"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2010","2010","222898.258"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2011","2011","226883.775"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2012","2012","230673.808"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2013","2013","228416.385"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2014","2014","241447.389"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2015","2015","249265.1809"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2016","2016","260911.113"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2017","2017","272746.4597"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2018","2018","291808.9191"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2019","2019","317404.6442"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2020","2020","369398.1648"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2021","2021","411391.1566"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Veřejné zdroje","HF1","Zdravotní pojišťovny","HF12","Česko","CZ","2022","2022","426640.1947"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2010","2010","427.1377655"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2011","2011","477.3230895"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2012","2012","520.4510845"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2013","2013","474.7040861"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2014","2014","537.0212596"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2015","2015","478.2698432"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2016","2016","484.3247526"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2017","2017","539.10994"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2018","2018","601.57386"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2019","2019","683.9236"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2020","2020","512.11814"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2021","2021","322.1443215"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Dobrovolné zdravotní pojištění (zdravotní cestovní pojištění)","HF21","Česko","CZ","2022","2022","678.270156"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2010","2010","1332.875589"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","","","Soukromé zdroje","HF2","Neziskové organizace","HF22","Česko","CZ","2011","2011","1370.799183"
