"Ukazatel","IndicatorType","Typ financování zdravotní péče-Úroveň 1","HF.HFU1","Typ financování zdravotní péče-Úroveň 2","HF.HFU2","Poskytovatel zdravotní péče-Úroveň 1","HP.HPU1","Poskytovatel zdravotní péče-Úroveň 2","HP.HPU2","Území","Uz0","Roky","CasR","Hodnota"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2011","2011","65402.82372"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2012","2012","65920.44966"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2013","2013","67096.47533"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2014","2014","71716.16852"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2015","2015","74438.52408"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2016","2016","78123.75867"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2017","2017","83058.99748"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2018","2018","87780.32473"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2019","2019","96808.61412"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2020","2020","104680.5049"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2021","2021","120482.1984"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé ambulantní péče","HP3","","","Česko","CZ","2022","2022","133992.5717"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2010","2010","12136.94586"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2011","2011","12489.84209"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2012","2012","12682.61391"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2013","2013","12721.01254"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2014","2014","13345.33032"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2015","2015","13833.31375"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2016","2016","14556.68576"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2017","2017","15498.09744"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2018","2018","16950.42794"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2019","2019","18543.34058"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2020","2020","23730.72224"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2021","2021","27212.69309"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Poskytovatelé doplňkových služeb","HP4","","","Česko","CZ","2022","2022","25487.41521"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2010","2010","56130.14475"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2011","2011","57319.44893"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2012","2012","58450.87193"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2013","2013","56284.6129"
"Výdaje za zdravotní péči celkem (mil. Kč)","7562","Celkem","0","","","Lékárny a výdejny prostředků zdravotnické techniky","HP5","","","Česko","CZ","2014","2014","57845.23234"
