"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetreni"
"2010","Z",66015000.0,"15–19 let","CZ0646","Vyskov","CZ064","Jihomoravsky kraj",853.0
"2010","Z",66015000.0,"15–19 let","CZ0647","Znojmo","CZ064","Jihomoravsky kraj",1290.0
"2010","Z",66015000.0,"15–19 let","CZ0711","Jesenik","CZ071","Olomoucky kraj",329.0
"2010","Z",66015000.0,"15–19 let","CZ0712","Olomouc","CZ071","Olomoucky kraj",2517.0
"2010","Z",66015000.0,"15–19 let","CZ0713","Prostejov","CZ071","Olomoucky kraj",1157.0
"2010","Z",66015000.0,"15–19 let","CZ0714","Prerov","CZ071","Olomoucky kraj",1267.0
"2010","Z",66015000.0,"15–19 let","CZ0715","Sumperk","CZ071","Olomoucky kraj",1413.0
"2010","Z",66015000.0,"15–19 let","CZ0721","Kromeriz","CZ072","Zlinsky kraj",1096.0
"2010","Z",66015000.0,"15–19 let","CZ0722","Uherske Hradiste","CZ072","Zlinsky kraj",1454.0
"2010","Z",66015000.0,"15–19 let","CZ0723","Vsetin","CZ072","Zlinsky kraj",1259.0
"2010","Z",66015000.0,"15–19 let","CZ0724","Zlin","CZ072","Zlinsky kraj",1761.0
"2010","Z",66015000.0,"15–19 let","CZ0801","Bruntal","CZ080","Moravskoslezsky kraj",1069.0
"2010","Z",66015000.0,"15–19 let","CZ0802","Frydek-Mistek","CZ080","Moravskoslezsky kraj",1842.0
"2010","Z",66015000.0,"15–19 let","CZ0803","Karvina","CZ080","Moravskoslezsky kraj",1316.0
"2010","Z",66015000.0,"15–19 let","CZ0804","Novy Jicin","CZ080","Moravskoslezsky kraj",1461.0
"2010","Z",66015000.0,"15–19 let","CZ0805","Opava","CZ080","Moravskoslezsky kraj",1559.0
"2010","Z",66015000.0,"15–19 let","CZ0806","Ostrava-mesto","CZ080","Moravskoslezsky kraj",2880.0
"2010","Z",66020000.0,"20–24 let","CZ0100","Praha","CZ010","Hlavni mesto Praha",23264.0
"2010","Z",66020000.0,"20–24 let","CZ0201","Benesov","CZ020","Stredocesky kraj",1728.0
"2010","Z",66020000.0,"20–24 let","CZ0202","Beroun","CZ020","Stredocesky kraj",1594.0
"2010","Z",66020000.0,"20–24 let","CZ0203","Kladno","CZ020","Stredocesky kraj",3115.0
"2010","Z",66020000.0,"20–24 let","CZ0204","Kolin","CZ020","Stredocesky kraj",1884.0
"2010","Z",66020000.0,"20–24 let","CZ0205","Kutna Hora","CZ020","Stredocesky kraj",1490.0
"2010","Z",66020000.0,"20–24 let","CZ0206","Melnik","CZ020","Stredocesky kraj",2072.0
"2010","Z",66020000.0,"20–24 let","CZ0207","Mlada Boleslav","CZ020","Stredocesky kraj",2665.0
"2010","Z",66020000.0,"20–24 let","CZ0208","Nymburk","CZ020","Stredocesky kraj",1742.0
