"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetrenych","pocet_abnormalnich"
"2010","Z",66025100.0,"25–59 let","CZ0641","Blansko","CZ064","Jihomoravsky kraj",13373.0,701.0
"2010","Z",66025100.0,"25–59 let","CZ0642","Brno-mesto","CZ064","Jihomoravsky kraj",50327.0,4136.0
"2010","Z",66025100.0,"25–59 let","CZ0643","Brno-venkov","CZ064","Jihomoravsky kraj",29157.0,2288.0
"2010","Z",66025100.0,"25–59 let","CZ0644","Breclav","CZ064","Jihomoravsky kraj",15806.0,776.0
"2010","Z",66025100.0,"25–59 let","CZ0645","Hodonin","CZ064","Jihomoravsky kraj",16536.0,724.0
"2010","Z",66025100.0,"25–59 let","CZ0646","Vyskov","CZ064","Jihomoravsky kraj",11369.0,677.0
"2010","Z",66025100.0,"25–59 let","CZ0647","Znojmo","CZ064","Jihomoravsky kraj",14694.0,669.0
"2010","Z",66025100.0,"25–59 let","CZ0711","Jesenik","CZ071","Olomoucky kraj",3854.0,228.0
"2010","Z",66025100.0,"25–59 let","CZ0712","Olomouc","CZ071","Olomoucky kraj",33527.0,2078.0
"2010","Z",66025100.0,"25–59 let","CZ0713","Prostejov","CZ071","Olomoucky kraj",15158.0,694.0
"2010","Z",66025100.0,"25–59 let","CZ0714","Prerov","CZ071","Olomoucky kraj",16099.0,718.0
"2010","Z",66025100.0,"25–59 let","CZ0715","Sumperk","CZ071","Olomoucky kraj",16551.0,751.0
"2010","Z",66025100.0,"25–59 let","CZ0721","Kromeriz","CZ072","Zlinsky kraj",13930.0,354.0
"2010","Z",66025100.0,"25–59 let","CZ0722","Uherske Hradiste","CZ072","Zlinsky kraj",18607.0,361.0
"2010","Z",66025100.0,"25–59 let","CZ0723","Vsetin","CZ072","Zlinsky kraj",17610.0,921.0
"2010","Z",66025100.0,"25–59 let","CZ0724","Zlin","CZ072","Zlinsky kraj",24606.0,1012.0
"2010","Z",66025100.0,"25–59 let","CZ0801","Bruntal","CZ080","Moravskoslezsky kraj",12545.0,899.0
"2010","Z",66025100.0,"25–59 let","CZ0802","Frydek-Mistek","CZ080","Moravskoslezsky kraj",25621.0,1581.0
"2010","Z",66025100.0,"25–59 let","CZ0803","Karvina","CZ080","Moravskoslezsky kraj",17973.0,1183.0
"2010","Z",66025100.0,"25–59 let","CZ0804","Novy Jicin","CZ080","Moravskoslezsky kraj",18102.0,1087.0
"2010","Z",66025100.0,"25–59 let","CZ0805","Opava","CZ080","Moravskoslezsky kraj",22545.0,2080.0
"2010","Z",66025100.0,"25–59 let","CZ0806","Ostrava-mesto","CZ080","Moravskoslezsky kraj",35459.0,3107.0
"2011","Z",66025100.0,"25–59 let","CZ0100","Praha","CZ010","Hlavni mesto Praha",158178.0,6566.0
"2011","Z",66025100.0,"25–59 let","CZ0201","Benesov","CZ020","Stredocesky kraj",13143.0,762.0
"2011","Z",66025100.0,"25–59 let","CZ0202","Beroun","CZ020","Stredocesky kraj",12041.0,677.0
"2011","Z",66025100.0,"25–59 let","CZ0203","Kladno","CZ020","Stredocesky kraj",21122.0,1071.0
"2011","Z",66025100.0,"25–59 let","CZ0204","Kolin","CZ020","Stredocesky kraj",13018.0,704.0
"2011","Z",66025100.0,"25–59 let","CZ0205","Kutna Hora","CZ020","Stredocesky kraj",10050.0,338.0
"2011","Z",66025100.0,"25–59 let","CZ0206","Melnik","CZ020","Stredocesky kraj",14011.0,531.0
"2011","Z",66025100.0,"25–59 let","CZ0207","Mlada Boleslav","CZ020","Stredocesky kraj",19586.0,887.0
"2011","Z",66025100.0,"25–59 let","CZ0208","Nymburk","CZ020","Stredocesky kraj",12986.0,504.0
"2011","Z",66025100.0,"25–59 let","CZ0209","Praha-vychod","CZ020","Stredocesky kraj",22851.0,998.0
"2011","Z",66025100.0,"25–59 let","CZ020A","Praha-zapad","CZ020","Stredocesky kraj",19021.0,863.0
"2011","Z",66025100.0,"25–59 let","CZ020B","Pribram","CZ020","Stredocesky kraj",16158.0,1188.0
"2011","Z",66025100.0,"25–59 let","CZ020C","Rakovnik","CZ020","Stredocesky kraj",7829.0,371.0
"2011","Z",66025100.0,"25–59 let","CZ0311","Ceske Budejovice","CZ031","Jihocesky kraj",28025.0,1485.0
"2011","Z",66025100.0,"25–59 let","CZ0312","Cesky Krumlov","CZ031","Jihocesky kraj",8793.0,315.0
"2011","Z",66025100.0,"25–59 let","CZ0313","Jindrichuv Hradec","CZ031","Jihocesky kraj",13522.0,285.0
"2011","Z",66025100.0,"25–59 let","CZ0314","Pisek","CZ031","Jihocesky kraj",9478.0,316.0
"2011","Z",66025100.0,"25–59 let","CZ0315","Prachatice","CZ031","Jihocesky kraj",6713.0,387.0
"2011","Z",66025100.0,"25–59 let","CZ0316","Strakonice","CZ031","Jihocesky kraj",9233.0,435.0
"2011","Z",66025100.0,"25–59 let","CZ0317","Tabor","CZ031","Jihocesky kraj",15611.0,1042.0
"2011","Z",66025100.0,"25–59 let","CZ0321","Domazlice","CZ032","Plzensky kraj",8783.0,348.0
"2011","Z",66025100.0,"25–59 let","CZ0322","Klatovy","CZ032","Plzensky kraj",11213.0,502.0
"2011","Z",66025100.0,"25–59 let","CZ0323","Plzen-mesto","CZ032","Plzensky kraj",26229.0,1291.0
"2011","Z",66025100.0,"25–59 let","CZ0324","Plzen-jih","CZ032","Plzensky kraj",8574.0,371.0
"2011","Z",66025100.0,"25–59 let","CZ0325","Plzen-sever","CZ032","Plzensky kraj",11268.0,531.0
"2011","Z",66025100.0,"25–59 let","CZ0326","Rokycany","CZ032","Plzensky kraj",6350.0,295.0
"2011","Z",66025100.0,"25–59 let","CZ0327","Tachov","CZ032","Plzensky kraj",7649.0,347.0
"2011","Z",66025100.0,"25–59 let","CZ0411","Cheb","CZ041","Karlovarsky kraj",11184.0,654.0
"2011","Z",66025100.0,"25–59 let","CZ0412","Karlovy Vary","CZ041","Karlovarsky kraj",13923.0,538.0
"2011","Z",66025100.0,"25–59 let","CZ0413","Sokolov","CZ041","Karlovarsky kraj",11888.0,727.0
"2011","Z",66025100.0,"25–59 let","CZ0421","Decin","CZ042","Ustecky kraj",14548.0,654.0
"2011","Z",66025100.0,"25–59 let","CZ0422","Chomutov","CZ042","Ustecky kraj",16408.0,786.0
"2011","Z",66025100.0,"25–59 let","CZ0423","Litomerice","CZ042","Ustecky kraj",16277.0,540.0
"2011","Z",66025100.0,"25–59 let","CZ0424","Louny","CZ042","Ustecky kraj",10583.0,311.0
"2011","Z",66025100.0,"25–59 let","CZ0425","Most","CZ042","Ustecky kraj",14152.0,792.0
"2011","Z",66025100.0,"25–59 let","CZ0426","Teplice","CZ042","Ustecky kraj",14305.0,767.0
"2011","Z",66025100.0,"25–59 let","CZ0427","Usti nad Labem","CZ042","Ustecky kraj",15180.0,331.0
"2011","Z",66025100.0,"25–59 let","CZ0511","Ceska Lipa","CZ051","Liberecky kraj",13163.0,615.0
"2011","Z",66025100.0,"25–59 let","CZ0512","Jablonec nad Nisou","CZ051","Liberecky kraj",12373.0,567.0
"2011","Z",66025100.0,"25–59 let","CZ0513","Liberec","CZ051","Liberecky kraj",22356.0,861.0
"2011","Z",66025100.0,"25–59 let","CZ0514","Semily","CZ051","Liberecky kraj",10127.0,504.0
"2011","Z",66025100.0,"25–59 let","CZ0521","Hradec Kralove","CZ052","Kralovehradecky kraj",22373.0,842.0
"2011","Z",66025100.0,"25–59 let","CZ0522","Jicin","CZ052","Kralovehradecky kraj",10887.0,531.0
"2011","Z",66025100.0,"25–59 let","CZ0523","Nachod","CZ052","Kralovehradecky kraj",15838.0,623.0
"2011","Z",66025100.0,"25–59 let","CZ0524","Rychnov nad Kneznou","CZ052","Kralovehradecky kraj",10947.0,424.0
"2011","Z",66025100.0,"25–59 let","CZ0525","Trutnov","CZ052","Kralovehradecky kraj",15128.0,741.0
"2011","Z",66025100.0,"25–59 let","CZ0531","Chrudim","CZ053","Pardubicky kraj",15436.0,556.0
"2011","Z",66025100.0,"25–59 let","CZ0532","Pardubice","CZ053","Pardubicky kraj",24528.0,1152.0
"2011","Z",66025100.0,"25–59 let","CZ0533","Svitavy","CZ053","Pardubicky kraj",13851.0,589.0
"2011","Z",66025100.0,"25–59 let","CZ0534","Usti nad Orlici","CZ053","Pardubicky kraj",19179.0,784.0
"2011","Z",66025100.0,"25–59 let","CZ0631","Havlickuv Brod","CZ063","Vysocina",13219.0,463.0
"2011","Z",66025100.0,"25–59 let","CZ0632","Jihlava","CZ063","Vysocina",15277.0,676.0
"2011","Z",66025100.0,"25–59 let","CZ0633","Pelhrimov","CZ063","Vysocina",9647.0,218.0
"2011","Z",66025100.0,"25–59 let","CZ0634","Trebic","CZ063","Vysocina",15694.0,625.0
"2011","Z",66025100.0,"25–59 let","CZ0635","Zdar nad Sazavou","CZ063","Vysocina",14522.0,553.0
"2011","Z",66025100.0,"25–59 let","CZ0641","Blansko","CZ064","Jihomoravsky kraj",13399.0,679.0
"2011","Z",66025100.0,"25–59 let","CZ0642","Brno-mesto","CZ064","Jihomoravsky kraj",50140.0,3429.0
"2011","Z",66025100.0,"25–59 let","CZ0643","Brno-venkov","CZ064","Jihomoravsky kraj",29207.0,1800.0
"2011","Z",66025100.0,"25–59 let","CZ0644","Breclav","CZ064","Jihomoravsky kraj",16181.0,769.0
"2011","Z",66025100.0,"25–59 let","CZ0645","Hodonin","CZ064","Jihomoravsky kraj",16265.0,615.0
"2011","Z",66025100.0,"25–59 let","CZ0646","Vyskov","CZ064","Jihomoravsky kraj",11756.0,761.0
"2011","Z",66025100.0,"25–59 let","CZ0647","Znojmo","CZ064","Jihomoravsky kraj",14494.0,656.0
"2011","Z",66025100.0,"25–59 let","CZ0711","Jesenik","CZ071","Olomoucky kraj",3762.0,156.0
