"kraj_kod","umrti_rok","umrti_vek_kategorie_kod","pocet_umrti"
"CZ031","2011",66086000.0,1
"CZ072","2011",66060100.0,4
"CZ072","2011",66035000.0,2
"CZ032","2011",66065100.0,1
"CZ032","2011",66035000.0,2
"CZ064","2011",66075100.0,1
"CZ010","2011",66035000.0,1
"CZ010","2011",66030000.0,1
"CZ052","2011",66075100.0,1
"CZ064","2011",66035000.0,1
"CZ032","2011",66070100.0,1
"CZ071","2011",66060100.0,1
"CZ072","2011",66070100.0,2
"CZ042","2012",66040000.0,3
"CZ080","2012",66045000.0,4
"CZ010","2012",66080100.0,6
"CZ020","2012",66065100.0,6
"CZ010","2012",66060100.0,7
"CZ053","2011",66086000.0,1
"CZ041","2011",66075100.0,1
"CZ064","2012",66065100.0,7
"CZ052","2012",66060100.0,7
"CZ064","2012",66070100.0,7
"CZ052","2011",66050100.0,1
"CZ041","2012",66070100.0,4
"CZ064","2012",66050100.0,7
"CZ020","2012",66055100.0,5
"CZ072","2012",66075100.0,4
"CZ010","2012",66050100.0,1
"CZ041","2012",66060100.0,6
"CZ071","2011",66045000.0,1
"CZ080","2012",66065100.0,8
"CZ010","2012",66086000.0,7
"CZ031","2012",66035000.0,2
"CZ042","2012",66055100.0,4
"CZ020","2012",66070100.0,1
"CZ032","2012",66065100.0,5
"CZ010","2012",66070100.0,3
"CZ080","2012",66060100.0,5
"CZ063","2012",66086000.0,1
"CZ042","2012",66045000.0,4
"CZ020","2012",66086000.0,3
"CZ051","2012",66060100.0,1
"CZ064","2012",66025000.0,1
"CZ080","2012",66070100.0,10
"CZ052","2012",66075100.0,3
"CZ020","2012",66045000.0,3
"CZ032","2011",66050100.0,1
"CZ010","2012",66035000.0,5
"CZ032","2012",66070100.0,4
"CZ041","2012",66065100.0,2
"CZ042","2012",66080100.0,5
"CZ041","2012",66045000.0,3
"CZ051","2012",66065100.0,3
"CZ080","2012",66080100.0,10
"CZ032","2012",66055100.0,4
"CZ031","2012",66070100.0,5
